ID,createdAt,createdBy,modifiedAt,modifiedBy,requisition_ID,itemNumber,material_ID,quantity,unit,estimatedUnitPrice,currency_code,requiredDate,notes
3003d1e4-f6e9-585a-b2b8-6e1459613c5e,2026-04-06T08:00:00Z,system,2026-04-06T08:00:00Z,system,032c695b-30e1-5fb4-91a7-9c8e3903c678,10,ff9d3a31-fca6-52bf-8e11-bad09771c87f,10.000,KG,25.24,EUR,2026-05-17,Standard requirement
76e1072c-2826-5ee8-8775-c0d437779a18,2026-04-06T08:00:00Z,system,2026-04-06T08:00:00Z,system,032c695b-30e1-5fb4-91a7-9c8e3903c678,20,8ecd63dc-042f-5821-9209-3db5b19e8ed7,2.000,EA,2190.65,EUR,2026-05-17,Planned maintenance
ff41d202-a29f-52bf-92ef-8c06f77e29cf,2025-12-14T08:00:00Z,system,2025-12-14T08:00:00Z,system,a47ee75a-1b52-5524-b4f7-fda3b526b3bc,10,d82bd767-f5ed-57ab-a2c9-406318f72bc2,20.000,L,73.06,EUR,2025-12-23,Planned maintenance
a92a54f7-937b-5378-8a52-8191eddc33d6,2025-12-14T08:00:00Z,system,2025-12-14T08:00:00Z,system,a47ee75a-1b52-5524-b4f7-fda3b526b3bc,20,eca867c4-ec3b-52d0-826e-e72c7e331d21,150.000,BOX,1289.61,EUR,2025-12-23,Planned maintenance
d33bb442-ee6b-531c-9da8-7672ff2be43e,2025-12-14T08:00:00Z,system,2025-12-14T08:00:00Z,system,a47ee75a-1b52-5524-b4f7-fda3b526b3bc,30,23ca3651-d389-5646-8a4d-d24fb3e26384,10.000,SET,2512.04,EUR,2025-12-23,Production demand
ff8fc373-b0ec-5d7e-b70a-283f009233fb,2025-12-14T08:00:00Z,system,2025-12-14T08:00:00Z,system,a47ee75a-1b52-5524-b4f7-fda3b526b3bc,40,57c1b397-ad33-5575-8763-be4b1f77f414,50.000,EA,2132.19,EUR,2025-12-23,
0ed9adb5-4fd6-5d13-8853-8616d841f3e4,2026-05-16T08:00:00Z,system,2026-05-16T08:00:00Z,system,0c33b41f-7475-5dcc-9b01-8efdec2590db,10,2e938e1a-7d1e-5084-9f28-14acf3a39a7c,20.000,SET,2103.42,EUR,2026-05-29,
f1aa3652-a4d9-5267-823f-c162f96a6894,2026-04-17T08:00:00Z,system,2026-04-17T08:00:00Z,system,1a884596-ca16-5905-ba4d-2b877a63b284,10,3b977897-9c14-59e5-a889-922436cc6be2,50.000,EA,519.11,EUR,2026-05-26,Standard requirement
4c5f9704-54c0-5827-a35d-761d8009c20c,2026-04-17T08:00:00Z,system,2026-04-17T08:00:00Z,system,1a884596-ca16-5905-ba4d-2b877a63b284,20,425b666f-dd3e-51cf-b65c-1b1c5b49b01e,10.000,M,1531.03,EUR,2026-05-26,Replacement stock
3f961467-971c-51ad-9d9a-d5a8231f6d65,2026-04-17T08:00:00Z,system,2026-04-17T08:00:00Z,system,1a884596-ca16-5905-ba4d-2b877a63b284,30,d0cb5824-8127-5ca6-8364-98b5469fc7c7,25.000,EA,1088.36,EUR,2026-05-26,Standard requirement
d18c1975-ff9d-5b5c-ba9d-832c2d0c6a53,2026-02-17T08:00:00Z,system,2026-02-17T08:00:00Z,system,658ee191-9f43-5b8c-bce0-cd429ac43107,10,9f72fcd8-0de5-52ab-8f85-0c7e59529a02,150.000,EA,412.40,EUR,2026-04-06,Standard requirement
e7e97d6e-3cb7-5696-a2d3-dd0f6fc2b5cf,2026-07-24T08:00:00Z,system,2026-07-24T08:00:00Z,system,f33816cc-0b18-579e-b3a2-5f8a09a730bc,10,3fc74a3b-0832-5675-b9fe-287a90de3ba8,5.000,EA,362.76,EUR,2026-08-18,
42137913-1bed-5b30-ad3c-a8b6e7655cb2,2026-07-24T08:00:00Z,system,2026-07-24T08:00:00Z,system,f33816cc-0b18-579e-b3a2-5f8a09a730bc,20,781e49c0-8999-50e8-9276-e1fc0e9e29ca,150.000,EA,2318.68,EUR,2026-08-18,Replacement stock
d32380cd-e5f5-58a5-be30-1e64de5788bc,2026-03-30T08:00:00Z,system,2026-03-30T08:00:00Z,system,fe629c98-7e89-5fe1-9e4b-e66efffc7e18,10,612fada6-761e-5f21-9247-4531ae1ea588,2.000,L,450.71,EUR,2026-04-26,
bede93bc-a6a6-5eb2-a13f-5462645e99e1,2026-03-30T08:00:00Z,system,2026-03-30T08:00:00Z,system,fe629c98-7e89-5fe1-9e4b-e66efffc7e18,20,f79ddad3-8785-5bbe-8cf9-08b1a4c43cb1,100.000,KG,10.36,EUR,2026-04-26,Standard requirement
56280fe5-74f6-52a0-9590-332aa77164b4,2026-03-30T08:00:00Z,system,2026-03-30T08:00:00Z,system,fe629c98-7e89-5fe1-9e4b-e66efffc7e18,30,9f268dd5-b99b-5f85-935d-cd614d5d12ad,20.000,KG,23.29,EUR,2026-04-26,Replacement stock
5470032c-9d61-52d5-a171-519d8578fd0b,2026-05-08T08:00:00Z,system,2026-05-08T08:00:00Z,system,19476d0e-e619-53ed-bfc7-48794b1fcc02,10,11bcb360-c513-556e-a8ed-3b43d3afbb6d,10.000,L,1998.91,EUR,2026-06-17,
0807dfd8-b337-5a84-8813-edb46380b359,2026-05-08T08:00:00Z,system,2026-05-08T08:00:00Z,system,19476d0e-e619-53ed-bfc7-48794b1fcc02,20,5638f460-1932-50d2-8453-a3cf94aaa992,150.000,SET,2013.50,EUR,2026-06-17,Planned maintenance
